n	name	score	cards	games	flags	short	alt1
716	Xerneas	8.0	4	2		When the horns on its head shine in seven colors, it is said to be sharing everlasting life.	When the horns on its head shine in seven different colors, it is said to be sharing everlasting life.
717	Yveltal	6.92	8	2	long	When its life comes to an end, it absorbs the life energy of every living thing and turns into a cocoon once more.	Hidden away in its jet-black wings is a red passion.
718	Zygarde	7.2	3	2		It's hypothesized that it's monitoring those who destroy the ecosystem from deep in the cave where it lives.	It's thought to be monitoring the ecosystem. There are rumors that even greater power lies hidden within it.
719	Diancie	8.0	4	2		It can instantly create many diamonds by compressing the carbon in the air between its hands.	Open the magic door and a dream-colored party will start again today.
720	Hoopa	7.4	4	1		It gathers things it likes and passes them through its loop to teleport them to a secret place.	This troublemaker sends anything and everything to faraway places using its loop, which can warp space.
721	Volcanion	9.12	8	2		It expels its internal steam from the arms on its back.	It lets out billows of steam and disappears into the dense fog.
722	Rowlet	8.3	7	1	deictic	This wary Pokémon uses photosynthesis to store up energy during the day, while becoming active at night.	At a distance, it launches its sharp feathers while flying about.
723	Dartrix	5.6	3	1		It throws one knifelike feather after another at its enemies, and each one precisely strikes a weak point.	A bit of a dandy, it spends its free time preening its wings.
724	Decidueye	6.4	4	1		As if wielding a bow, it launches the arrow quills hidden among the feathers of its wings.	It nocks its arrow quills and shoots them at opponents.
725	Litten	8.52	8	1		While grooming itself, it builds up fur inside its stomach.	If you try too hard to get close to it, it won't open up to you.
726	Torracat	5.56	2	1		At its throat, it bears a bell of fire. The bell rings brightly whenever this Pokémon spits fire.	It boasts powerful front legs. With a single punch, it can bend an iron bar right over.
727	Incineroar	4.1	1	1		When its fighting spirit is set alight, the flames around its waist become especially intense.	This Pokémon has a violent, selfish disposition.
728	Popplio	6.82	6	1	deictic	This Pokémon snorts body fluids from its nose, blowing balloons to smash into its foes.	The balloons it inflates with its nose grow larger and larger as it practices day by day.
729	Brionne	3.5	1	0		A skillful dancer, it creates a sequence of water balloons as it dances, and briskly bombards it enemies.	A skillful dancer, it creates a sequence of water balloons as it dances, and briskly bombards its enemies.
730	Primarina	3.1	1	1		Its singing voice is its chief weapon in battle.	It controls its water balloons with song.
731	Pikipek	3.5	1	0		Pikipek has strong muscles in its neck, so it won't hurt itself even if it violently shakes its head.	It may look spindly, but its neck muscles are heavy-duty.
732	Trumbeak	4.1	1	1		By bending its beak, it can produce a variety of calls and brand itself a noisy nuisance for its neighbors.	By bending its beak, it can produce a variety of call and brand itself a noisy nuisance for its neighbors.
733	Toucannon	4.1	1	1		Known for forming harmonious couples, this Pokémon is brought to wedding ceremonies as a good luck charm.	Within its beak, its internal gas ignites, explosively launching seeds with enough power to pulverize boulders.
734	Yungoos	4.56	2	1		With its sharp fangs, it will bite anything.	Although it will eat anything, it prefers fresh living things, so it marches down streets in search of prey.
735	Gumshoos	3.5	1	0		Once it finds signs of prey, it will patiently stake out the location, waiting until the sun goes down.	Patient by nature, this Pokémon loses control of itself and pounces when it spots its favorite meal—Rattata!
736	Grubbin	5.56	2	1		It uses its big jaws to dig nests into the forest floor, and it loves to feed on sweet tree sap.	They often gather near places frequented by electric Pokémon in order to avoid being attacked by bird Pokémon.
737	Charjabug	4.1	1	1		From the food it digests, it generates electricity, and it stores this energy in its electric sac.	While its durable shell protects it from attacks, Charjabug strikes at enemies with jolts of electricity discharged from the tips of its jaws.
738	Vikavolt	4.56	2	1		It produces electricity via an electrical organ in its abdomen.	It has an organ that generates electricity in its abdomen.
739	Crabrawler	4.56	2	1		It punches so much, its pincers often come off from overuse, but they grow back quickly.	Its hard pincers are well suited to both offense and defense.
740	Crabominable	4.56	2	1		It aimed for the top but got lost and ended up on a snowy mountain.	It stores coldness in its pincers and pummels its foes.
741	Oricorio	3.1	1	1	override	This Pokémon is incredibly popular, possibly because its passionate dancing is a great match with the temperament of Paldean people.	This Oricorio has drunk red nectar.
742	Cutiefly	5.6	3	1		It feeds on the nectar and pollen of flowers.	An opponent's aura can tell Cutiefly what that opponent's next move will be.
743	Ribombee	5.56	2	1		It rolls up pollen into puffs. It makes many different varieties, some used as food and others used in battle.	Some of Ribombee's pollen puffs are highly nutritious.
744	Rockruff	6.4	4	1		When it rubs the rocks on its neck against you, that's proof of its love for you.	As they develop, their disposition grows more violent and aggressive.
745	Lycanroc	5.0	3	0	override	The rocks in its mane are sharper than a knife. Fragments that break off are treasured as good luck charms.	Its quick movements confuse its enemies.
746	Wishiwashi	4.56	2	1		When it's in trouble, its eyes moisten and begin to shine.	When it senses danger, its eyes tear up. The sparkle of its tears signals other Wishiwashi to gather.
747	Mareanie	5.6	3	1		It plunges the poison spike on its head into its prey.	The first symptom of its sting is numbness.
748	Toxapex	3.1	1	1		Toxapex crawls along the ocean floor on its 12 legs.	Those attacked by Toxapex's poison will suffer intense pain for three days and three nights.
749	Mudbray	5.56	2	1		The mud stuck to Mudbray's hooves enhances its grip and its powerful running gait.	Loads weighing up to 50 times as much as its own body weight pose no issue for this Pokémon.
750	Mudsdale	4.56	2	1		Mud that hardens around a Mudsdale's legs sets harder than stone.	It spits a mud that provides resistance to both wind and rain, so the walls of old houses were often coated with it.
751	Dewpider	6.6	3	1		It crawls onto the land in search of food. Its water bubble allows it to breathe and protects its soft head.	When two Dewpider meet, they display their water bubbles to each other.
752	Araquanid	5.6	3	1		It delivers headbutts with the water bubble on its head.	It usually passes its time in the water.
753	Fomantis	4.96	2	0		Many Trainers give their Fomantis their own flowerpots so they can sunbathe in peace and quiet.	It loves the sunshine. When it basks in the sunlight regularly, it grows up with vivid coloration.
754	Lurantis	3.1	1	1		For self-protection, it pretends to be a bug Pokémon.	As it slashes into its enemies, it looks like it's dancing.
755	Morelull	5.56	2	1		It scatters spores that flicker and glow. Anyone seeing these lights falls into a deep slumber.	As it drowses the day away, it nourishes itself by sucking from tree roots.
756	Shiinotic	5.6	3	1		It emits flickering spores that cause drowsiness.	Forests where Shiinotic live are treacherous to enter at night.
757	Salandit	5.6	3	1		It burns its bodily fluids to create a poisonous gas.	The males will do whatever the females tell them.
758	Salazzle	5.6	3	1		For some reason, only females have been found.	Filled with pheromones, its poisonous gas can be diluted to use in the production of luscious perfumes.
759	Stufful	3.65	4	1	long	Despite its adorable appearance, when it gets angry and flails about, its arms and legs could knock a pro wrestler sprawling.	It boasts power enough to split large trees in half.
760	Bewear	6.26	5	1	deictic	This immensely dangerous Pokémon possesses overwhelming physical strength.	The moves it uses to take down its prey would make a martial artist jealous.
761	Bounsweet	4.1	1	1		Its body gives off a sweet, fruity scent that is extremely appetizing to bird Pokémon.	Its sweat is sweet, like syrup made from boiled-down fruit.
762	Steenee	3.96	2	0		Steenee spreads a sweet scent that makes others feel invigorated.	The sepals on its head developed to protect its body.
